TimeStamp;FrequencyInvert1(Hz);VoltageInvert1(V);CurrentInvert1(A);ActivePowerInvert1(W);ReactivePowerInvert1(VAr);FrequencyInvert2(Hz);VoltageInvert2(V);CurrentInvert2(A);ActivePowerInvert2(W);ReactivePowerInvert2(VAr)
2021_05_08 00:00:05;50,07;222,45;0,13;-0,00;0,03;50,07;223,44;0,13;-0,00;0,03
2021_05_08 00:00:09;50,06;222,52;0,13;-0,00;0,03;50,06;223,52;0,13;-0,00;0,03
2021_05_08 00:00:14;50,04;222,40;0,13;-0,00;0,03;50,04;223,39;0,13;-0,00;0,03
2021_05_08 00:00:19;50,03;222,49;0,13;-0,00;0,03;50,03;223,48;0,13;-0,00;0,03
2021_05_08 00:00:24;50,00;222,47;0,13;-0,00;0,03;50,00;223,49;0,13;-0,00;0,03
2021_05_08 00:00:29;50,01;222,54;0,13;-0,00;0,03;50,01;223,52;0,13;-0,00;0,03
2021_05_08 00:00:34;50,06;222,49;0,13;-0,00;0,03;50,06;223,50;0,13;-0,00;0,03
2021_05_08 00:00:39;50,08;222,54;0,13;-0,00;0,03;50,08;223,52;0,13;-0,00;0,03
2021_05_08 00:00:44;50,09;222,52;0,13;-0,00;0,03;50,09;223,54;0,13;-0,00;0,03
2021_05_08 00:00:49;50,08;222,55;0,13;-0,00;0,03;50,08;223,56;0,13;-0,00;0,03
2021_05_08 00:00:54;50,03;222,44;0,13;-0,00;0,03;50,03;223,45;0,13;-0,00;0,03
2021_05_08 00:00:59;50,03;222,50;0,13;-0,00;0,03;50,03;223,52;0,13;-0,00;0,03
2021_05_08 00:01:04;50,04;222,47;0,13;-0,00;0,03;50,04;223,50;0,13;-0,00;0,03
2021_05_08 00:01:09;50,06;222,55;0,13;-0,00;0,03;50,06;223,58;0,13;-0,00;0,03
2021_05_08 00:01:14;50,08;224,38;0,13;-0,00;0,03;50,08;225,21;0,13;-0,00;0,03
2021_05_08 00:01:19;50,09;224,48;0,13;-0,00;0,03;50,09;225,29;0,13;-0,00;0,03
2021_05_08 00:01:24;50,09;224,44;0,13;-0,00;0,03;50,09;225,23;0,13;-0,00;0,03
2021_05_08 00:01:29;50,08;224,32;0,13;-0,00;0,03;50,08;225,14;0,13;-0,00;0,03
2021_05_08 00:01:34;50,06;224,36;0,13;-0,00;0,03;50,06;225,17;0,13;-0,00;0,03
2021_05_08 00:01:39;50,04;224,35;0,13;-0,00;0,03;50,04;225,20;0,13;-0,00;0,03
2021_05_08 00:01:44;50,03;224,32;0,13;-0,00;0,03;50,03;225,18;0,13;-0,00;0,03
2021_05_08 00:01:49;50,03;224,33;0,13;-0,00;0,03;50,03;225,18;0,13;-0,00;0,03
2021_05_08 00:01:54;50,05;224,39;0,13;-0,00;0,03;50,05;225,23;0,13;-0,00;0,03
2021_05_08 00:01:59;50,05;224,33;0,13;-0,00;0,03;50,05;225,15;0,13;-0,00;0,03
2021_05_08 00:02:04;50,03;224,38;0,13;-0,00;0,03;50,03;225,21;0,13;-0,00;0,03
2021_05_08 00:02:09;50,04;224,34;0,13;-0,00;0,03;50,05;225,12;0,13;-0,00;0,03
2021_05_08 00:02:14;50,05;224,42;0,13;-0,00;0,03;50,05;225,22;0,13;-0,00;0,03
2021_05_08 00:02:19;50,06;224,37;0,13;-0,00;0,03;50,06;225,24;0,13;-0,00;0,03
2021_05_08 00:02:24;50,07;224,38;0,13;-0,00;0,03;50,07;225,21;0,13;-0,00;0,03
2021_05_08 00:02:29;50,06;224,37;0,13;-0,00;0,03;50,06;225,24;0,13;-0,00;0,03
2021_05_08 00:02:34;50,06;224,42;0,13;-0,00;0,03;50,06;225,28;0,13;-0,00;0,03
2021_05_08 00:02:39;50,05;224,41;0,13;-0,00;0,03;50,05;225,26;0,13;-0,00;0,03
2021_05_08 00:02:44;50,05;224,35;0,13;-0,00;0,03;50,05;225,21;0,13;-0,00;0,03
2021_05_08 00:02:49;50,05;224,33;0,13;-0,00;0,03;50,05;225,19;0,13;-0,00;0,03
2021_05_08 00:02:54;50,05;224,32;0,13;-0,00;0,03;50,05;225,17;0,13;-0,00;0,03
2021_05_08 00:02:59;50,04;224,34;0,13;-0,00;0,03;50,04;225,17;0,13;-0,00;0,03
2021_05_08 00:03:04;50,04;224,45;0,13;-0,00;0,03;50,04;225,29;0,13;-0,00;0,03
2021_05_08 00:03:09;50,05;224,35;0,13;-0,00;0,03;50,05;225,22;0,13;-0,00;0,03
2021_05_08 00:03:14;50,05;224,40;0,13;-0,00;0,03;50,05;225,23;0,13;-0,00;0,03
2021_05_08 00:03:19;50,06;224,36;0,13;-0,00;0,03;50,06;225,24;0,13;-0,00;0,03
2021_05_08 00:03:24;50,05;224,41;0,13;-0,00;0,03;50,05;225,26;0,13;-0,00;0,03
2021_05_08 00:03:29;50,06;224,40;0,13;-0,00;0,03;50,06;225,24;0,13;-0,00;0,03
2021_05_08 00:03:34;50,05;224,39;0,13;-0,00;0,03;50,05;225,21;0,13;-0,00;0,03
2021_05_08 00:03:39;50,06;224,52;0,13;-0,00;0,03;50,06;225,33;0,13;-0,00;0,03
2021_05_08 00:03:44;50,09;224,46;0,13;-0,00;0,03;50,09;225,28;0,13;-0,00;0,03
2021_05_08 00:03:49;50,09;224,36;0,13;-0,00;0,03;50,09;225,18;0,13;-0,00;0,03
2021_05_08 00:03:54;50,05;224,28;0,13;-0,00;0,03;50,05;225,10;0,13;-0,00;0,03
2021_05_08 00:03:59;50,05;224,36;0,13;-0,00;0,03;50,05;225,23;0,13;-0,00;0,03
2021_05_08 00:04:04;50,07;224,38;0,13;-0,00;0,03;50,07;225,26;0,13;-0,00;0,03
2021_05_08 00:04:09;50,07;224,32;0,13;-0,00;0,03;50,07;225,18;0,13;-0,00;0,03
2021_05_08 00:04:14;50,05;224,36;0,13;-0,00;0,03;50,05;225,23;0,13;-0,00;0,03
2021_05_08 00:04:19;50,05;224,44;0,13;-0,00;0,03;50,05;225,27;0,13;-0,00;0,03
2021_05_08 00:04:24;50,04;224,46;0,13;-0,00;0,03;50,04;225,31;0,13;-0,00;0,03
2021_05_08 00:04:29;50,05;224,34;0,13;-0,00;0,03;50,05;225,19;0,13;-0,00;0,03
2021_05_08 00:04:34;50,05;224,32;0,13;-0,00;0,03;50,05;225,18;0,13;-0,00;0,03
2021_05_08 00:04:39;50,04;224,35;0,13;-0,00;0,03;50,04;225,21;0,13;-0,00;0,03
2021_05_08 00:04:44;50,06;224,44;0,13;-0,00;0,03;50,06;225,30;0,13;-0,00;0,03
2021_05_08 00:04:49;50,08;224,36;0,13;-0,00;0,03;50,07;225,23;0,13;-0,00;0,03
2021_05_08 00:04:54;50,06;224,32;0,13;-0,00;0,03;50,06;225,21;0,13;-0,00;0,03
2021_05_08 00:04:59;50,06;224,35;0,13;-0,00;0,03;50,06;225,21;0,13;-0,00;0,03
2021_05_08 00:05:04;50,06;224,38;0,13;-0,00;0,03;50,06;225,21;0,13;-0,00;0,03
2021_05_08 00:05:09;50,06;224,34;0,13;-0,00;0,03;50,06;225,13;0,13;-0,00;0,03
2021_05_08 00:05:14;50,05;224,40;0,13;-0,00;0,03;50,05;225,20;0,13;-0,00;0,03
2021_05_08 00:05:19;50,04;224,34;0,13;-0,00;0,03;50,04;225,18;0,13;-0,00;0,03
2021_05_08 00:05:24;50,01;224,37;0,13;-0,00;0,03;50,01;225,23;0,13;-0,00;0,03
2021_05_08 00:05:29;50,02;224,33;0,13;-0,00;0,03;50,02;225,21;0,13;-0,00;0,03
2021_05_08 00:05:34;50,06;224,40;0,13;-0,00;0,03;50,06;225,25;0,13;-0,00;0,03
2021_05_08 00:05:39;50,08;224,38;0,13;-0,00;0,03;50,08;225,20;0,13;-0,00;0,03
2021_05_08 00:05:44;50,07;224,30;0,13;-0,00;0,03;50,07;225,13;0,13;-0,00;0,03
2021_05_08 00:05:49;50,06;224,31;0,13;-0,00;0,03;50,06;225,13;0,13;-0,00;0,03
2021_05_08 00:05:54;50,07;224,31;0,13;-0,00;0,03;50,07;225,12;0,13;-0,00;0,03
2021_05_08 00:05:59;50,08;224,42;0,13;-0,00;0,03;50,08;225,24;0,13;-0,00;0,03
2021_05_08 00:06:04;50,09;224,38;0,13;-0,00;0,03;50,09;225,19;0,13;-0,00;0,03
2021_05_08 00:06:09;50,10;224,36;0,13;-0,00;0,03;50,10;225,20;0,13;-0,00;0,03
2021_05_08 00:06:14;50,11;224,38;0,13;-0,00;0,03;50,11;225,20;0,13;-0,00;0,03
2021_05_08 00:06:19;50,10;224,31;0,13;-0,00;0,03;50,10;225,15;0,13;-0,00;0,03
2021_05_08 00:06:24;50,07;224,33;0,13;-0,00;0,03;50,07;225,18;0,13;-0,00;0,03
2021_05_08 00:06:29;50,06;224,41;0,13;-0,00;0,03;50,06;225,24;0,13;-0,00;0,03
2021_05_08 00:06:34;50,05;224,42;0,13;-0,00;0,03;50,05;225,23;0,13;-0,00;0,03
2021_05_08 00:06:39;50,06;224,39;0,13;-0,00;0,03;50,06;225,21;0,13;-0,00;0,03
2021_05_08 00:06:44;50,05;224,34;0,13;-0,00;0,03;50,05;225,14;0,13;-0,00;0,03
2021_05_08 00:06:49;50,05;224,35;0,13;-0,00;0,03;50,05;225,20;0,13;-0,00;0,03
2021_05_08 00:06:54;50,04;224,37;0,13;-0,00;0,03;50,04;225,20;0,13;-0,00;0,03
2021_05_08 00:06:59;50,02;224,43;0,13;-0,00;0,03;50,02;225,28;0,13;-0,00;0,03
2021_05_08 00:07:04;50,05;224,38;0,13;-0,00;0,03;50,05;225,24;0,13;-0,00;0,03
2021_05_08 00:07:09;50,08;224,37;0,13;-0,00;0,03;50,08;225,19;0,13;-0,00;0,03
2021_05_08 00:07:14;50,08;224,36;0,13;-0,00;0,03;50,08;225,19;0,13;-0,00;0,03
2021_05_08 00:07:19;50,07;224,37;0,13;-0,00;0,03;50,07;225,18;0,13;-0,00;0,03
2021_05_08 00:07:24;50,06;224,31;0,13;-0,00;0,03;50,06;225,15;0,13;-0,00;0,03
2021_05_08 00:07:29;50,05;224,32;0,13;-0,00;0,03;50,05;225,17;0,13;-0,00;0,03
2021_05_08 00:07:34;50,04;224,42;0,13;-0,00;0,03;50,04;225,22;0,13;-0,00;0,03
2021_05_08 00:07:39;50,06;224,49;0,13;-0,00;0,03;50,06;225,31;0,13;-0,00;0,03
2021_05_08 00:07:44;50,10;224,37;0,13;-0,00;0,03;50,10;225,12;0,13;-0,00;0,03
2021_05_08 00:07:49;50,10;224,29;0,13;-0,00;0,03;50,10;225,15;0,13;-0,00;0,03
2021_05_08 00:07:54;50,09;224,35;0,13;-0,00;0,03;50,09;225,11;0,13;-0,00;0,03
2021_05_08 00:07:59;50,09;224,44;0,13;-0,00;0,03;50,09;225,16;0,13;-0,00;0,03
2021_05_08 00:08:04;50,09;224,39;0,13;-0,00;0,03;50,09;225,10;0,13;-0,00;0,03
2021_05_08 00:08:09;50,09;224,41;0,13;-0,00;0,03;50,09;225,13;0,13;-0,00;0,03
2021_05_08 00:08:14;50,09;224,32;0,13;-0,00;0,03;50,09;225,03;0,13;-0,00;0,03
2021_05_08 00:08:19;50,09;224,46;0,13;-0,00;0,03;50,09;225,16;0,13;-0,00;0,03
2021_05_08 00:08:24;50,06;224,36;0,13;-0,00;0,03;50,06;225,07;0,13;-0,00;0,03
2021_05_08 00:08:29;50,05;224,35;0,13;-0,00;0,03;50,05;225,10;0,13;-0,00;0,03
2021_05_08 00:08:34;50,06;224,38;0,13;-0,00;0,03;50,06;225,13;0,13;-0,00;0,03
2021_05_08 00:08:39;50,06;224,36;0,13;-0,00;0,03;50,06;225,12;0,13;-0,00;0,03
2021_05_08 00:08:44;50,04;224,34;0,13;-0,00;0,03;50,04;225,05;0,13;-0,00;0,03
2021_05_08 00:08:49;50,05;224,41;0,13;-0,00;0,03;50,05;225,12;0,13;-0,00;0,03
2021_05_08 00:08:54;50,05;224,30;0,13;-0,00;0,03;50,05;224,99;0,13;-0,00;0,03
2021_05_08 00:08:59;50,05;224,33;0,13;-0,00;0,03;50,05;225,05;0,13;-0,00;0,03
2021_05_08 00:09:04;50,06;224,33;0,13;-0,00;0,03;50,06;225,05;0,13;-0,00;0,03
2021_05_08 00:09:09;50,07;224,32;0,13;-0,00;0,03;50,07;224,75;0,13;-0,00;0,03
2021_05_08 00:09:14;50,09;224,37;0,13;-0,00;0,03;50,09;224,75;0,13;-0,00;0,03
2021_05_08 00:09:19;50,10;224,31;0,13;-0,00;0,03;50,10;225,04;0,13;-0,00;0,03
2021_05_08 00:09:24;50,11;224,18;0,13;-0,00;0,03;50,11;224,94;0,13;-0,00;0,03
2021_05_08 00:09:29;50,10;224,23;0,13;-0,00;0,03;50,10;224,99;0,13;-0,00;0,03
2021_05_08 00:09:34;50,09;224,27;0,13;-0,00;0,03;50,09;225,01;0,13;-0,00;0,03
2021_05_08 00:09:39;50,08;224,28;0,13;-0,00;0,03;50,08;225,02;0,13;-0,00;0,03
2021_05_08 00:09:44;50,07;224,29;0,13;-0,00;0,03;50,07;224,96;0,13;-0,00;0,03
2021_05_08 00:09:49;50,07;224,32;0,13;-0,00;0,03;50,07;225,01;0,13;-0,00;0,03
2021_05_08 00:09:54;50,08;224,38;0,13;-0,00;0,03;50,08;224,97;0,13;-0,00;0,03
2021_05_08 00:09:59;50,08;224,26;0,13;-0,00;0,03;50,08;224,99;0,13;-0,00;0,03
2021_05_08 00:10:04;50,08;224,29;0,13;-0,00;0,03;50,08;225,00;0,13;-0,00;0,03
2021_05_08 00:10:09;50,09;224,34;0,13;-0,00;0,03;50,09;225,04;0,13;-0,00;0,03
