TimeStamp;FrequencyInvert3(Hz);VoltageInvert3(V);CurrentInvert3(A);ActivePowerInvert3(W);ReactivePowerInvert3(VAr);FrequencyInvert4(Hz);VoltageInvert4(V);CurrentInvert4(A);ActivePowerInvert4(W);ReactivePowerInvert4(VAr);FrequencyInvert5(Hz);VoltageInvert5(V);CurrentInvert5(A);ActivePowerInvert5(W);ReactivePowerInvert5(VAr);FrequencyInvert6(Hz);VoltageInvert6(V);CurrentInvert6(A);ActivePowerInvert6(W);ReactivePowerInvert6(VAr)
2021_05_08 00:00:05;50,07;222,57;0,13;-0,00;0,03;50,07;223,59;0,13;-0,00;0,03;50,07;223,79;0,13;-0,00;0,03;50,07;222,57;0,13;-0,00;0,03
2021_05_08 00:00:09;50,06;222,61;0,13;-0,00;0,03;50,06;223,60;0,13;-0,00;0,03;50,06;223,79;0,13;-0,00;0,03;50,06;222,61;0,13;-0,00;0,03
2021_05_08 00:00:14;50,04;222,52;0,13;-0,00;0,03;50,04;223,54;0,13;-0,00;0,03;50,04;223,72;0,13;-0,00;0,03;50,04;222,52;0,13;-0,00;0,03
2021_05_08 00:00:19;50,03;222,58;0,13;-0,00;0,03;50,03;223,58;0,13;-0,00;0,03;50,03;223,78;0,13;-0,00;0,03;50,03;222,58;0,13;-0,00;0,03
2021_05_08 00:00:24;50,01;222,56;0,13;-0,00;0,03;50,01;223,58;0,13;-0,00;0,03;50,01;223,75;0,13;-0,00;0,03;50,01;222,56;0,13;-0,00;0,03
2021_05_08 00:00:29;50,01;222,61;0,13;-0,00;0,03;50,01;223,57;0,13;-0,00;0,03;50,01;223,80;0,13;-0,00;0,03;50,01;222,61;0,13;-0,00;0,03
2021_05_08 00:00:34;50,06;222,57;0,13;-0,00;0,03;50,06;223,60;0,13;-0,00;0,03;50,06;223,78;0,13;-0,00;0,03;50,06;222,57;0,13;-0,00;0,03
2021_05_08 00:00:39;50,08;222,64;0,13;-0,00;0,03;50,08;223,63;0,13;-0,00;0,03;50,08;223,82;0,13;-0,00;0,03;50,08;222,64;0,13;-0,00;0,03
2021_05_08 00:00:44;50,09;222,65;0,13;-0,00;0,03;50,09;223,68;0,13;-0,00;0,03;50,09;223,83;0,13;-0,00;0,03;50,09;222,65;0,13;-0,00;0,03
2021_05_08 00:00:49;50,08;222,64;0,13;-0,00;0,03;50,08;223,64;0,13;-0,00;0,03;50,08;223,81;0,13;-0,00;0,03;50,08;222,62;0,13;-0,00;0,03
