TimeStamp;1VE301(V);1IE301(A);1PE301(W);1VE302(V);1IE302(A);1PE302(W);1VE303(V);1IE303(A);1PE303(W)
2021_05_08 00:00:05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:00:59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:01:59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021_05_08 00:02:54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
