TimeStamp;1SP401(m/s);1SP402(m/s);1SP403(m/s)
2021_05_08 00:00:05;3,86;3,44;1,13
2021_05_08 00:00:09;2,81;3,09;2,39
2021_05_08 00:00:14;3,02;2,77;0,99
2021_05_08 00:00:19;2,29;2,37;1,02
2021_05_08 00:00:24;1,94;2,99;0,73
2021_05_08 00:00:29;2,54;2,72;0,84
2021_05_08 00:00:34;2,39;3,52;0,75
2021_05_08 00:00:39;3,50;2,69;1,05
2021_05_08 00:00:44;4,07;3,70;1,05
2021_05_08 00:00:49;3,78;3,50;0,73
2021_05_08 00:00:54;3,27;3,22;1,08
2021_05_08 00:00:59;2,65;3,71;1,41
2021_05_08 00:01:04;2,58;4,11;0,80
2021_05_08 00:01:09;3,04;4,03;0,58
2021_05_08 00:01:14;3,07;3,39;0,88
2021_05_08 00:01:19;2,79;3,71;1,13
2021_05_08 00:01:24;3,10;2,46;1,63
2021_05_08 00:01:29;3,53;3,01;1,49
2021_05_08 00:01:34;2,92;3,26;1,07
2021_05_08 00:01:39;3,05;3,32;0,86
2021_05_08 00:01:44;3,13;2,71;1,30
2021_05_08 00:01:49;2,35;3,06;1,22
2021_05_08 00:01:54;3,17;3,84;1,16
2021_05_08 00:01:59;3,07;3,09;0,59
2021_05_08 00:02:04;2,71;3,09;1,01
2021_05_08 00:02:09;2,88;2,65;1,29
2021_05_08 00:02:14;2,10;3,63;1,23
2021_05_08 00:02:19;3,40;2,91;1,03
2021_05_08 00:02:24;3,30;2,81;0,95
2021_05_08 00:02:29;2,72;2,65;0,61
2021_05_08 00:02:34;1,96;2,57;0,65
2021_05_08 00:02:39;2,29;2,60;0,38
2021_05_08 00:02:44;3,31;2,63;1,02
2021_05_08 00:02:49;2,09;3,39;0,54
2021_05_08 00:02:54;2,58;2,38;1,43
2021_05_08 00:02:59;2,83;2,40;1,16
2021_05_08 00:03:04;2,12;2,42;1,05
2021_05_08 00:03:09;2,34;3,74;1,16
2021_05_08 00:03:14;3,20;3,21;1,65
2021_05_08 00:03:19;3,09;3,50;0,80
2021_05_08 00:03:24;3,04;3,14;1,31
2021_05_08 00:03:29;2,78;3,32;1,73
2021_05_08 00:03:34;3,82;4,73;2,19
2021_05_08 00:03:39;5,23;5,39;2,28
2021_05_08 00:03:44;4,41;3,65;1,53
2021_05_08 00:03:49;3,29;4,82;1,93
2021_05_08 00:03:54;3,75;4,40;1,36
2021_05_08 00:03:59;4,63;4,04;3,11
2021_05_08 00:04:04;3,40;3,45;1,59
2021_05_08 00:04:09;3,29;2,93;2,14
2021_05_08 00:04:14;3,22;2,68;1,41
2021_05_08 00:04:19;3,22;3,01;1,25
2021_05_08 00:04:24;2,79;2,70;1,04
2021_05_08 00:04:29;2,43;2,71;2,39
2021_05_08 00:04:34;2,85;2,36;2,27
2021_05_08 00:04:39;2,85;2,34;1,90
2021_05_08 00:04:44;2,61;2,29;0,90
2021_05_08 00:04:49;2,71;1,89;2,03
2021_05_08 00:04:54;2,71;2,15;1,06
2021_05_08 00:04:59;2,82;2,53;1,79
2021_05_08 00:05:04;2,39;2,64;1,11
2021_05_08 00:05:09;2,69;3,01;1,32
2021_05_08 00:05:14;3,68;2,50;1,64
2021_05_08 00:05:19;2,87;3,37;1,68
2021_05_08 00:05:24;2,84;3,48;1,08
2021_05_08 00:05:29;2,84;3,66;1,30
2021_05_08 00:05:34;3,84;2,70;1,31
2021_05_08 00:05:39;2,69;2,09;1,01
2021_05_08 00:05:44;2,41;2,89;1,53
2021_05_08 00:05:49;2,64;3,45;1,25
2021_05_08 00:05:54;2,75;2,91;1,70
2021_05_08 00:05:59;2,49;2,93;0,85
2021_05_08 00:06:04;2,73;2,84;1,19
2021_05_08 00:06:09;2,85;2,50;0,59
2021_05_08 00:06:14;2,98;2,81;1,18
2021_05_08 00:06:19;2,94;2,92;1,75
2021_05_08 00:06:24;2,93;2,18;0,89
2021_05_08 00:06:29;2,64;2,28;0,50
2021_05_08 00:06:34;2,64;2,66;1,36
2021_05_08 00:06:39;2,64;2,36;0,67
2021_05_08 00:06:44;2,78;2,66;0,69
2021_05_08 00:06:49;2,08;2,66;1,08
2021_05_08 00:06:54;2,68;2,50;1,19
2021_05_08 00:06:59;2,35;2,76;0,90
2021_05_08 00:07:04;2,59;2,96;0,66
2021_05_08 00:07:09;2,91;3,15;1,32
2021_05_08 00:07:14;3,03;2,61;0,63
2021_05_08 00:07:19;2,11;3,25;1,04
2021_05_08 00:07:24;2,65;2,98;1,21
2021_05_08 00:07:29;2,59;3,70;0,97
2021_05_08 00:07:34;3,10;3,37;1,64
2021_05_08 00:07:39;3,43;2,36;0,91
2021_05_08 00:07:44;2,28;3,20;0,71
2021_05_08 00:07:49;3,33;2,82;0,54
2021_05_08 00:07:54;2,63;3,17;1,20
2021_05_08 00:07:59;3,53;3,43;1,15
2021_05_08 00:08:04;3,12;3,30;1,21
2021_05_08 00:08:09;3,34;3,64;0,72
2021_05_08 00:08:14;2,89;2,67;1,89
2021_05_08 00:08:19;3,28;3,32;1,32
2021_05_08 00:08:24;3,39;3,09;0,96
2021_05_08 00:08:29;3,11;2,59;0,92
2021_05_08 00:08:34;3,22;2,53;1,72
2021_05_08 00:08:39;2,09;2,35;0,50
2021_05_08 00:08:44;2,36;3,23;0,86
2021_05_08 00:08:49;2,73;1,93;0,94
2021_05_08 00:08:54;2,83;3,23;0,94
2021_05_08 00:08:59;3,23;2,77;1,80
2021_05_08 00:09:04;3,59;3,57;2,61
2021_05_08 00:09:09;3,14;3,93;1,96
2021_05_08 00:09:14;3,77;3,22;1,58
2021_05_08 00:09:19;4,25;4,28;1,71
2021_05_08 00:09:24;4,09;4,24;1,54
2021_05_08 00:09:29;3,97;3,14;1,14
2021_05_08 00:09:34;3,91;3,61;1,44
2021_05_08 00:09:39;3,75;3,81;1,13
2021_05_08 00:09:44;3,30;3,20;2,32
2021_05_08 00:09:49;3,20;3,01;1,32
2021_05_08 00:09:54;3,11;2,79;1,38
2021_05_08 00:09:59;2,76;2,67;1,76
2021_05_08 00:10:04;3,25;2,43;1,06
2021_05_08 00:10:09;2,53;2,62;1,72
2021_05_08 00:10:14;2,49;2,74;0,77
