TimeStamp;1SP601(m/s);1SP602(m/s);1SP603(m/s)
2021_05_08 00:00:05;2,57;3,19;2,83
2021_05_08 00:00:09;2,58;3,36;2,92
2021_05_08 00:00:14;2,73;3,46;2,82
2021_05_08 00:00:19;3,10;2,95;2,62
2021_05_08 00:00:24;3,65;2,66;3,06
2021_05_08 00:00:29;3,40;2,68;2,92
2021_05_08 00:00:34;4,30;3,34;3,61
2021_05_08 00:00:39;4,19;3,57;3,65
2021_05_08 00:00:44;3,13;3,90;3,14
2021_05_08 00:00:49;2,95;3,72;2,98
2021_05_08 00:00:54;3,18;3,86;3,38
2021_05_08 00:00:59;3,37;3,42;2,95
2021_05_08 00:01:04;3,71;3,36;2,71
2021_05_08 00:01:09;3,49;3,12;2,63
2021_05_08 00:01:14;3,14;3,65;2,78
2021_05_08 00:01:19;2,84;3,27;2,58
2021_05_08 00:01:24;2,67;3,03;2,14
2021_05_08 00:01:29;3,19;2,74;2,48
2021_05_08 00:01:34;2,55;3,12;2,52
2021_05_08 00:01:39;2,92;3,01;2,18
2021_05_08 00:01:44;3,28;2,48;2,41
2021_05_08 00:01:49;2,86;2,72;2,03
2021_05_08 00:01:54;2,63;2,91;2,46
2021_05_08 00:01:59;2,79;2,53;2,13
2021_05_08 00:02:04;2,21;2,44;2,09
2021_05_08 00:02:09;2,02;2,40;2,18
2021_05_08 00:02:14;2,66;2,33;2,08
2021_05_08 00:02:19;2,46;2,14;1,96
2021_05_08 00:02:24;2,45;2,39;2,22
2021_05_08 00:02:29;2,37;2,27;1,93
2021_05_08 00:02:34;2,93;2,74;1,86
2021_05_08 00:02:39;3,36;2,55;1,80
2021_05_08 00:02:44;2,68;2,86;2,34
2021_05_08 00:02:49;2,81;3,04;2,48
2021_05_08 00:02:54;2,94;2,89;2,06
2021_05_08 00:02:59;3,55;3,01;2,66
2021_05_08 00:03:04;3,71;3,46;3,22
2021_05_08 00:03:09;3,28;3,00;3,08
2021_05_08 00:03:14;2,92;2,82;2,89
2021_05_08 00:03:19;3,20;2,82;2,88
2021_05_08 00:03:24;3,77;3,47;2,95
2021_05_08 00:03:29;4,28;3,60;3,16
2021_05_08 00:03:34;4,42;4,29;3,60
2021_05_08 00:03:39;3,38;4,28;3,31
2021_05_08 00:03:44;4,10;3,77;3,06
