TimeStamp;1SP101(m/s);1SP102(m/s);1SP103(m/s)
2021_05_08 00:00:05;3,37;4,01;3,54
2021_05_08 00:00:09;3,46;3,86;3,95
2021_05_08 00:00:14;3,31;4,00;3,54
2021_05_08 00:00:19;2,94;3,26;3,28
2021_05_08 00:00:24;3,15;3,24;3,52
2021_05_08 00:00:29;2,32;3,07;4,22
2021_05_08 00:00:34;2,81;3,21;3,52
2021_05_08 00:00:39;2,85;3,09;3,74
2021_05_08 00:00:44;3,69;3,58;3,99
2021_05_08 00:00:49;3,19;3,62;4,11
2021_05_08 00:00:54;3,09;3,53;4,18
2021_05_08 00:00:59;2,60;4,76;4,10
2021_05_08 00:01:04;2,13;3,92;4,10
2021_05_08 00:01:09;2,55;3,58;3,86
2021_05_08 00:01:14;3,93;3,69;3,64
2021_05_08 00:01:19;3,36;3,43;3,33
2021_05_08 00:01:24;2,53;3,19;2,80
2021_05_08 00:01:29;2,82;3,17;3,07
2021_05_08 00:01:34;2,70;3,32;3,16
2021_05_08 00:01:39;2,99;2,99;3,65
2021_05_08 00:01:44;4,09;3,24;3,93
2021_05_08 00:01:49;2,12;3,34;3,56
2021_05_08 00:01:54;3,13;3,23;3,37
2021_05_08 00:01:59;2,72;3,06;3,47
2021_05_08 00:02:04;2,46;3,49;3,23
2021_05_08 00:02:09;2,81;3,26;3,24
2021_05_08 00:02:14;2,71;3,12;2,67
2021_05_08 00:02:19;2,36;2,35;3,18
2021_05_08 00:02:24;2,78;3,05;3,19
2021_05_08 00:02:29;3,25;3,08;3,68
2021_05_08 00:02:34;3,20;3,29;2,64
2021_05_08 00:02:39;2,84;2,50;3,71
2021_05_08 00:02:44;2,39;2,67;3,43
2021_05_08 00:02:49;2,89;3,21;4,14
2021_05_08 00:02:54;2,13;3,83;3,04
2021_05_08 00:02:59;2,30;2,54;3,75
2021_05_08 00:03:04;2,28;3,04;3,80
2021_05_08 00:03:09;3,04;3,25;3,18
2021_05_08 00:03:14;3,28;2,83;3,35
2021_05_08 00:03:19;2,41;3,05;3,45
2021_05_08 00:03:24;2,53;2,67;3,00
2021_05_08 00:03:29;2,40;2,77;2,79
2021_05_08 00:03:34;2,19;2,98;3,91
2021_05_08 00:03:39;2,47;2,87;3,68
2021_05_08 00:03:44;2,63;3,68;4,10
2021_05_08 00:03:49;2,30;2,70;3,18
2021_05_08 00:03:54;3,14;2,64;2,90
2021_05_08 00:03:59;2,78;2,75;3,09
2021_05_08 00:04:04;3,16;3,44;2,93
2021_05_08 00:04:09;2,90;3,01;3,51
2021_05_08 00:04:14;2,18;3,10;4,21
2021_05_08 00:04:19;2,46;3,44;3,85
2021_05_08 00:04:24;2,39;3,91;3,69
2021_05_08 00:04:29;2,37;3,31;3,97
2021_05_08 00:04:34;3,07;2,79;3,50
2021_05_08 00:04:39;1,69;3,11;3,48
2021_05_08 00:04:44;2,53;2,63;3,79
2021_05_08 00:04:49;2,18;3,47;3,56
2021_05_08 00:04:54;2,29;2,70;3,00
2021_05_08 00:04:59;2,66;3,30;3,53
2021_05_08 00:05:04;2,49;3,45;3,47
2021_05_08 00:05:09;2,15;2,47;2,82
2021_05_08 00:05:14;1,62;2,73;3,64
2021_05_08 00:05:19;2,93;2,75;3,27
2021_05_08 00:05:24;2,01;2,45;3,63
2021_05_08 00:05:29;1,84;3,65;3,63
2021_05_08 00:05:34;2,73;2,69;3,95
2021_05_08 00:05:39;2,88;3,78;3,31
2021_05_08 00:05:44;2,38;2,43;3,18
2021_05_08 00:05:49;2,22;3,26;2,81
2021_05_08 00:05:54;2,40;2,27;3,33
2021_05_08 00:05:59;2,63;2,78;2,74
2021_05_08 00:06:04;2,35;3,02;2,83
2021_05_08 00:06:09;2,69;2,63;3,25
2021_05_08 00:06:14;2,71;2,76;3,33
2021_05_08 00:06:19;2,75;2,39;3,07
2021_05_08 00:06:24;1,59;2,71;2,87
2021_05_08 00:06:29;1,78;2,64;2,83
2021_05_08 00:06:34;2,23;3,01;2,46
2021_05_08 00:06:39;1,82;3,24;3,47
2021_05_08 00:06:44;2,73;3,03;3,27
2021_05_08 00:06:49;2,73;3,16;2,61
2021_05_08 00:06:54;2,03;3,15;3,13
2021_05_08 00:06:59;2,53;2,80;3,12
2021_05_08 00:07:04;2,57;2,79;2,37
2021_05_08 00:07:09;2,54;2,32;3,12
2021_05_08 00:07:14;2,57;2,80;2,87
2021_05_08 00:07:19;2,09;3,33;2,90
2021_05_08 00:07:24;3,13;2,55;4,14
2021_05_08 00:07:29;3,00;3,36;3,38
2021_05_08 00:07:34;2,77;2,85;3,13
2021_05_08 00:07:39;2,33;2,73;3,19
2021_05_08 00:07:44;2,46;3,19;3,03
2021_05_08 00:07:49;2,39;3,20;2,89
2021_05_08 00:07:54;2,34;2,93;3,49
2021_05_08 00:07:59;2,93;2,75;3,46
2021_05_08 00:08:04;2,91;2,49;3,09
2021_05_08 00:08:09;1,59;2,66;2,68
2021_05_08 00:08:14;2,79;2,99;3,06
2021_05_08 00:08:19;2,84;2,41;2,94
2021_05_08 00:08:24;1,61;2,60;3,10
2021_05_08 00:08:29;2,70;2,74;3,39
2021_05_08 00:08:34;2,80;3,41;3,17
2021_05_08 00:08:39;2,30;3,11;3,59
2021_05_08 00:08:44;2,61;2,92;3,23
2021_05_08 00:08:49;2,48;2,49;3,24
2021_05_08 00:08:54;1,89;2,59;3,45
2021_05_08 00:08:59;2,34;3,16;3,64
2021_05_08 00:09:04;2,41;3,43;4,23
2021_05_08 00:09:09;2,65;3,21;4,18
2021_05_08 00:09:14;2,77;4,12;3,23
2021_05_08 00:09:19;3,84;4,44;4,03
2021_05_08 00:09:24;3,32;3,41;3,54
2021_05_08 00:09:29;2,85;3,80;4,43
2021_05_08 00:09:34;2,99;3,19;4,35
2021_05_08 00:09:39;2,87;3,56;4,37
2021_05_08 00:09:44;3,34;2,96;4,61
2021_05_08 00:09:49;2,76;2,91;4,02
2021_05_08 00:09:54;3,22;3,27;3,79
2021_05_08 00:09:59;2,84;2,99;2,67
2021_05_08 00:10:04;2,32;2,85;3,27
2021_05_08 00:10:09;2,76;3,28;3,02
2021_05_08 00:10:14;2,64;3,00;2,81
2021_05_08 00:10:19;2,77;2,85;2,41
2021_05_08 00:10:24;2,26;3,32;2,78
2021_05_08 00:10:29;2,54;2,57;2,69
2021_05_08 00:10:34;2,48;2,45;3,46
2021_05_08 00:10:39;3,40;2,54;2,86
2021_05_08 00:10:44;1,73;2,59;3,09
2021_05_08 00:10:49;2,37;3,08;3,01
2021_05_08 00:10:54;2,36;2,67;2,73
2021_05_08 00:10:59;2,31;2,47;2,73
